Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
36940, 37451, 99141, 96729, 103131, 37895, 35663, 21514, 25399
35355, 37436, 82582, 95052, 101201, 36839, 40877, 32472, 30621
34713, 36048, 93198, 93629, 93978, 36639, 36753, 29552, 29433
37042, 36177, 103459, 111592, 115679, 39451, 36391, 29375, 30740
37476, 38596, 98796, 97838, 104769, 38622, 38780, 28954, 29957
38523, 41161, 91960, 97903, 102240, 39836, 35909, 28892, 29054
36578, 36762, 92248, 100123, 113459, 41836, 36098, 32941, 31775
43326, 41016, 101471, 93002, 97441, 36667, 37181, 28548, 28558
33548, 33601, 85330, 92519, 96807, 35886, 37981, 28194, 28202
33758, 36183, 95887, 106356, 92612, 38215, 37584, 31344, 31820
37963, 38789, 88223, 96900, 103418, 40047, 40607, 32955, 31258
38388, 36155, 84516, 107493, 112943, 38849, 39180, 32203, 29734
37360, 39018, 85329, 95237, 101365, 36773, 35761, 30957, 28286
39111, 38702, 93805, 92824, 101038, 40809, 41790, 31015, 33746
39444, 44623, 93301, 99601, 105260, 39458, 36845, 30848, 28218
34452, 35116, 91594, 92602, 97801, 36517, 41151, 27916, 27363
34394, 37316, 87221, 97102, 86444, 38534, 44113, 28910, 33002
38103, 38188, 97411, 94780, 101336, 39912, 40417, 30296, 32604
37413, 36327, 85944, 96238, 117484, 40060, 39789, 29977, 26896
35833, 37296, 97309, 95154, 100131, 39196, 36039, 30609, 29753
35226, 38978, 84312, 92204, 95721, 36801, 33340, 29822, 32881
35617, 36173, 85266, 97507, 97677, 37740, 36394, 29746, 29312
36445, 35539, 82778, 93899, 97000, 36918, 34648, 27288, 29639
37196, 37027, 98326, 95110, 119969, 39745, 36736, 29389, 31352
40063, 39752, 91430, 96859, 101709, 40366, 34804, 31272, 29462
34364, 34824, 84075, 90626, 94553, 38414, 42147, 31770, 29913
36087, 47982, 90616, 89743, 95321, 37233, 42712, 27936, 24751
35932, 41059, 92767, 93361, 90691, 37795, 41202, 34035, 27879
36938, 37399, 95769, 107032, 101357, 38853, 43663, 32436, 32260
38257, 37114, 83791, 95965, 100424, 38551, 42059, 32599, 29879
36272, 37785, 85685, 91891, 119107, 40810, 41292, 27835, 24883
39097, 42647, 106124, 96540, 102653, 38994, 36982, 29591, 30852
36299, 36278, 86655, 92187, 98618, 38645, 41287, 32924, 31588
42652, 47064, 101155, 94360, 89309, 38249, 38905, 29117, 29636
37514, 39440, 86314, 92352, 99924, 37308, 34312, 29101, 29036
35250, 35835, 92768, 100470, 110135, 38979, 33782, 28757, 27138
36398, 37769, 82553, 98074, 101895, 37832, 37748, 29535, 28732
36587, 35443, 83626, 93136, 101520, 38953, 31421, 30405, 26381
37077, 36979, 87367, 95624, 100473, 37337, 40307, 29136, 26909
35663, 35708, 89750, 94363, 97532, 37021, 33514, 28788, 26512
35610, 35208, 94005, 102380, 114942, 39799, 44930, 29063, 29051
38814, 37442, 87496, 93638, 101128, 38289, 35140, 28446, 23701
36128, 39422, 83114, 91840, 114820, 42183, 39545, 30826, 29127
44003, 48025, 118428, 92114, 90350, 39528, 36335, 27932, 29845
36053, 38253, 89195, 95331, 87856, 36823, 32824, 28193, 32867
37116, 39241, 89877, 94446, 89498, 39213, 39041, 32033, 26872
37896, 41441, 89530, 96470, 102445, 38062, 39889, 31143, 28260
36307, 36951, 105068, 102149, 123597, 38860, 43130, 31405, 31427
37520, 37167, 86743, 96189, 100762, 38002, 37100, 29359, 25932
34895, 35471, 86623, 93480, 111078, 38963, 37289, 30079, 26623
34601, 40751, 88814, 92413, 98132, 36937, 34357, 29316, 29265
35383, 34403, 96836, 92077, 94239, 35226, 33888, 28453, 26584
34639, 34303, 81191, 100624, 97935, 37015, 31531, 28982, 28292
33714, 35265, 84922, 85964, 93438, 34579, 34494, 28758, 28583
34171, 35279, 74368, 86335, 92755, 36578, 32918, 28708, 25838
38120, 35805, 86117, 91199, 111134, 35964, 33618, 28944, 28933
36942, 34936, 83236, 88564, 95248, 37685, 33588, 26445, 26355
34099, 34059, 87354, 101755, 101064, 42452, 33084, 26948, 25711
34644, 40548, 85883, 90539, 96580, 39070, 35325, 28511, 27892
36432, 35541, 82722, 87467, 88590, 38024, 43038, 33867, 32022
42081, 43368, 93947, 90579, 99201, 36541, 41532, 27664, 26477
34541, 35412, 90791, 101772, 97800, 36278, 33703, 27063, 26438
33829, 34418, 85444, 100352, 98567, 39806, 39998, 26910, 27966
35882, 35021, 77549, 94469, 98468, 37464, 41772, 33235, 27836
36460, 35583, 86293, 92783, 101671, 38906, 42902, 28891, 29003
42202, 37619, 88517, 95014, 101020, 39775, 37137, 30959, 30520
38139, 37383, 86116, 92505, 91871, 37565, 32672, 29163, 27592
36005, 35245, 88954, 97185, 100027, 38055, 34112, 25137, 27687
36867, 39508, 80941, 92777, 101551, 39188, 44798, 29599, 29223
38362, 37538, 85132, 90789, 96854, 42915, 34310, 28214, 29969
37125, 44504, 85464, 89408, 97552, 35196, 33988, 28266, 27655
34308, 34608, 82255, 82477, 94132, 34644, 37113, 26211, 24029
32563, 33316, 86517, 90262, 111409, 37043, 37075, 26155, 26307
34793, 36227, 82855, 92148, 95976, 37468, 39547, 26817, 27093
33072, 52443, 86710, 89203, 94428, 37369, 39683, 29713, 29424
37562, 46724, 86153, 89727, 96560, 37250, 34641, 29017, 29661
35370, 35437, 81907, 103575, 98309, 36144, 38087, 25082, 25946
35570, 37536, 86096, 97068, 108988, 39492, 33457, 24386, 24597
36347, 35871, 87878, 90850, 95392, 36371, 32886, 32018, 25659
35584, 34294, 86417, 82911, 84433, 39477, 38257, 27675, 24916
38910, 37819, 89387, 89421, 102574, 41264, 38618, 29052, 28604
35694, 35739, 84573, 93085, 97130, 37055, 39731, 27555, 27486
34840, 34781, 94349, 97648, 121613, 36867, 34324, 25614, 25417
33316, 34723, 88075, 86571, 95629, 35635, 36817, 27239, 23669
32511, 32692, 85716, 86009, 90649, 35602, 41814, 30317, 28104
36784, 36242, 87674, 90619, 99549, 38786, 34492, 29122, 27191
35058, 34904, 85830, 92493, 94011, 36153, 32520, 25645, 24149
35487, 35151, 81210, 100568, 109707, 38617, 34154, 29127, 27900
35525, 35606, 82829, 89686, 95827, 35860, 38533, 28701, 27995
34441, 35455, 92721, 86468, 91756, 34708, 39137, 28312, 27952
36063, 39763, 85345, 86294, 92958, 34886, 33653, 28229, 26738
33828, 33095, 82938, 85289, 94726, 35670, 31051, 24783, 26708
33834, 35040, 85006, 100057, 113709, 38042, 40098, 28823, 29016
36084, 35994, 89814, 101700, 93245, 35187, 33348, 27596, 27568
34305, 35922, 80630, 90543, 97030, 36726, 33432, 36938, 27588
37634, 40428, 86683, 100399, 105597, 38004, 34425, 28490, 28556
35691, 36063, 85842, 89852, 96280, 38490, 67573, 42160, 26763
37776, 45055, 98343, 122507, 105551, 36801, 38897, 28179, 24127
37131, 41566, 79168, 92143, 98357, 37267, 40746, 27668, 25936
35359, 36123, 77255, 87763, 103267, 40898, 35601, 29759, 25877
36051, 36755, 91047, 94446, 97719, 38282, 34678, 27890, 28085
35460, 35144, 85821, 111520, 111857, 40945, 36931, 28043, 29071
35706, 39005, 90552, 87857, 94668, 35983, 32454, 24603, 23969
34111, 37388, 85363, 91548, 93861, 35603, 35562, 26912, 26804
33809, 36506, 75148, 83838, 105819, 38446, 34266, 29987, 27763
35455, 35492, 88339, 91807, 97154, 36230, 41639, 31127, 28946
35737, 35575, 85656, 93198, 97026, 37269, 35124, 29592, 29980
35470, 38413, 83146, 105586, 76074, 34309, 35474, 25998, 27118
34699, 33873, 75827, 86718, 93365, 34839, 33467, 27700, 28272
33096, 33296, 78310, 87720, 93847, 36123, 34957, 26993, 26579
34240, 33832, 82964, 87264, 86574, 36082, 32258, 25554, 26101
33853, 34601, 89271, 86343, 92220, 35410, 29765, 25220, 25951
34346, 33969, 80525, 88348, 113748, 38701, 35463, 29227, 28253
34711, 35715, 83515, 91141, 94295, 35949, 35744, 29031, 26632
35527, 37173, 105360, 103358, 110079, 36414, 32593, 31557, 29592
38602, 36983, 89479, 92972, 98034, 37384, 39196, 27543, 28003
35110, 35521, 83853, 89141, 94262, 35715, 33764, 28346, 27402
33681, 34612, 93010, 93308, 113807, 35921, 37381, 27006, 25938
35410, 35223, 83576, 90603, 112525, 41379, 33950, 28554, 28959
35014, 34811, 88319, 88994, 95277, 41334, 38814, 32205, 30385
40519, 39057, 87908, 88159, 97701, 37392, 34010, 28640, 27191
34782, 35174, 80856, 89374, 96044, 36733, 37340, 27248, 27499
33889, 33293, 88815, 97846, 109765, 43116, 40145, 28472, 26536
36935, 37355, 87375, 92424, 99365, 38074, 34927, 29170, 28129
35108, 36408, 84769, 89764, 93892, 46402, 46186, 31300, 26700
35116, 42627, 89841, 90588, 95283, 35819, 37625, 27409, 26327
32722, 34553, 79673, 84504, 92257, 34072, 30991, 27370, 27966
33265, 33197, 92996, 92228, 96017, 36007, 34785, 21705, 24322
35802, 36703, 84479, 88017, 95256, 36676, 36051, 27799, 27766
34823, 34089, 83404, 86878, 96025, 35732, 39411, 26232, 27007
33443, 34249, 90617, 88053, 96803, 36066, 38647, 30830, 26611
35508, 38661, 90396, 92812, 95870, 35733, 37350, 27810, 24411
34014, 34211, 83492, 97797, 116692, 37186, 39045, 27994, 24588
34470, 32641, 82497, 85135, 94487, 33915, 33213, 24938, 24852
33059, 34964, 79101, 89079, 91270, 35633, 34572, 31362, 27471
35296, 34146, 86555, 96741, 109350, 38055, 32948, 24650, 25055
33693, 36067, 82719, 89582, 90999, 34933, 39601, 24354, 26822
33219, 32798, 79536, 90482, 104733, 37930, 32652, 24089, 22780
32880, 36928, 83916, 89060, 96003, 35950, 33500, 25281, 27044
35126, 36331, 86378, 87418, 96309, 37638, 37436, 31505, 29995
40782, 47538, 100712, 87283, 98173, 35692, 34301, 28059, 24617
34990, 34081, 89873, 86080, 87213, 35909, 37150, 28509, 28260
32763, 32809, 75958, 86234, 105762, 38176, 35105, 27109, 25595
33780, 37162, 81380, 90278, 94499, 37686, 34110, 28842, 29272
33300, 38146, 101530, 86435, 95337, 36696, 42337, 29169, 27341
35228, 34698, 80620, 95548, 100046, 37167, 37531, 31772, 24772
35689, 34771, 87261, 89989, 94872, 36090, 32848, 27286, 28013
34571, 35527, 85579, 86301, 109809, 37192, 36786, 27256, 23671
35498, 34015, 86068, 102362, 98252, 39461, 37677, 27179, 24117
35247, 35314, 83103, 91488, 95650, 36346, 32457, 26510, 26313
35592, 34236, 87820, 102833, 102698, 35326, 35535, 26361, 27426
33533, 34475, 83437, 87826, 94659, 36399, 35829, 27056, 27248
34122, 34478, 84627, 86629, 102558, 39567, 44042, 31843, 26212
37442, 45002, 94555, 90021, 97141, 37100, 36151, 29257, 27752
35190, 37797, 82160, 90508, 99090, 37080, 35898, 29101, 25309
36446, 37851, 101788, 100001, 98145, 37728, 39529, 29888, 27006
35604, 35688, 86394, 90690, 101147, 37681, 42368, 31078, 27664
35496, 34651, 84159, 100754, 115264, 38110, 33596, 28394, 24958
36940, 35356, 84617, 92967, 97423, 38720, 34836, 27811, 26473
35755, 38704, 86139, 91523, 98989, 36805, 39373, 34799, 30109
35906, 39320, 88945, 87721, 88629, 36920, 35571, 29289, 28401
36870, 37243, 93055, 92444, 97762, 37361, 35442, 27553, 28786
39002, 35365, 88335, 105472, 111323, 36609, 38182, 24720, 26511
35971, 35055, 86757, 89369, 99070, 36747, 42744, 34233, 28113
34837, 35071, 81894, 86520, 93464, 47253, 33793, 36526, 40750
36058, 39346, 94238, 91676, 95463, 36238, 36385, 27715, 26835
35360, 38961, 89009, 88713, 95620, 38007, 32356, 27541, 25234
33656, 36055, 92110, 97704, 89756, 45036, 35691, 30074, 28547
36387, 36659, 88703, 90162, 97948, 37512, 35146, 30726, 25620
36788, 39145, 101469, 91985, 108602, 39354, 38642, 31598, 28130
35565, 36525, 82070, 90733, 96962, 38281, 34493, 28660, 27623
35319, 35947, 79551, 86182, 92666, 35016, 37112, 24443, 23545
32422, 35079, 90133, 97555, 107817, 35980, 34795, 27584, 24840
33442, 34936, 84123, 109920, 100071, 39063, 39854, 29118, 28827
35863, 37174, 84280, 91742, 109646, 41633, 38676, 31186, 26525
37437, 39760, 85028, 90135, 95313, 35243, 38691, 25830, 25812
34503, 36366, 84827, 89489, 88418, 35175, 32681, 26134, 23913
33492, 34594, 89336, 101138, 109996, 37362, 33524, 23832, 28491
35969, 39199, 84390, 89762, 95700, 37129, 35355, 28904, 27426
36362, 36738, 78300, 91857, 107105, 37034, 36861, 31090, 25592
44272, 37120, 84559, 89994, 99754, 37988, 35066, 30193, 26486
35277, 36259, 87662, 90866, 104244, 42279, 37838, 29994, 29305
37911, 43346, 92405, 103828, 95105, 50616, 41990, 29920, 27357
38737, 38713, 96110, 96464, 100196, 38117, 35565, 28365, 27424
35717, 38672, 91397, 98252, 112731, 39500, 36448, 29352, 28848
36960, 37754, 90507, 101410, 109223, 41377, 38269, 28287, 28939
36008, 36352, 95818, 91932, 96354, 37544, 35583, 29352, 29362
35569, 37449, 91261, 93767, 97413, 38760, 42549, 26584, 26226
35208, 36696, 80228, 90715, 94975, 35853, 33510, 28922, 27297
35367, 34555, 77850, 88640, 112764, 37956, 38228, 29663, 26896
34625, 35305, 78550, 85999, 92656, 35018, 33245, 27541, 27040
32703, 33124, 78094, 90237, 95937, 36716, 39400, 30266, 29264
38344, 48162, 90179, 91709, 96900, 36721, 35541, 30192, 29077
34510, 35911, 83648, 91981, 95939, 36671, 36672, 26775, 25072
34699, 34448, 116892, 110139, 108574, 39733, 34062, 26489, 29693
36111, 39273, 82327, 88134, 93295, 36977, 39101, 29593, 24601
34859, 38771, 92490, 89303, 106835, 39408, 33814, 31331, 27230
35838, 36109, 99877, 87619, 93748, 35733, 34882, 29275, 30507
33609, 34575, 94870, 91577, 95735, 35206, 34640, 27798, 26955
34341, 36258, 87724, 99996, 96101, 37354, 33892, 27513, 26787
35313, 33902, 87410, 89104, 93715, 35239, 39700, 26449, 24393
33140, 34718, 78908, 86332, 104875, 39851, 37053, 28677, 25617
35174, 34549, 86317, 99438, 104425, 40910, 35321, 28775, 25601
35931, 35362, 84464, 90964, 94737, 37400, 35559, 29464, 27957
34630, 39116, 91535, 98140, 99059, 38302, 36223, 28959, 26773
35424, 37083, 82654, 95186, 95196, 36182, 34102, 28727, 27185
34620, 35179, 83549, 89775, 103243, 40883, 40271, 26385, 25374
35439, 43374, 85430, 91618, 87835, 35993, 35318, 27964, 25975
35053, 34535, 80352, 87534, 96458, 37307, 33181, 30902, 27786
34305, 34190, 96807, 106001, 88975, 41420, 38154, 30195, 27010
35852, 35491, 83847, 91282, 97842, 39231, 42645, 33331, 27902
35399, 36093, 82746, 88396, 112935, 38323, 36033, 29097, 29319
38224, 40378, 88519, 89389, 99280, 37338, 40908, 28137, 28191
35495, 36289, 85502, 88592, 94797, 36977, 34198, 27814, 26780
34059, 36676, 91864, 97998, 102363, 37274, 32366, 27991, 30616
34851, 35541, 83267, 88722, 100534, 35342, 37124, 28211, 26589
33085, 35468, 83515, 88472, 90417, 41092, 38327, 30580, 26821
35331, 34055, 78589, 93008, 96262, 34949, 34996, 28726, 26850
36367, 35728, 92690, 89854, 95202, 35594, 37232, 28624, 26002
34446, 35900, 90155, 100033, 96825, 38121, 39696, 31456, 28523
36667, 36828, 90462, 93838, 98503, 37189, 40487, 29072, 27564
35299, 37176, 76239, 100908, 114675, 55240, 43794, 34414, 27401
33381, 34589, 84243, 94607, 95215, 35870, 31806, 27611, 26158
32886, 33666, 85088, 104375, 106428, 40692, 42211, 32130, 28134
38663, 36431, 90110, 97356, 99716, 37814, 37727, 29641, 28276
35816, 35934, 90109, 93334, 96871, 37865, 35478, 28662, 29249
34921, 34147, 86688, 89399, 97710, 37232, 40729, 29518, 26478
35021, 36500, 90442, 104489, 115574, 37960, 38255, 29459, 27307
38258, 36926, 82543, 94272, 96519, 38506, 36586, 35697, 28631
36724, 37317, 95526, 92874, 103785, 37585, 35621, 29481, 31848
35694, 37239, 89996, 94826, 99767, 39102, 38018, 28161, 28616
35570, 36599, 89280, 101641, 114171, 39281, 35748, 31745, 29763
40009, 37067, 87120, 94857, 101944, 38719, 35009, 30157, 28249
36663, 36764, 83441, 94082, 99069, 38943, 40909, 30459, 31932
38486, 48176, 88989, 92204, 101210, 37941, 38863, 30790, 28609
36573, 39011, 81636, 93152, 115622, 37212, 37148, 29852, 28507
37704, 37838, 89787, 104136, 112552, 43337, 44318, 29957, 28342
36013, 38216, 95006, 97286, 99569, 36931, 37415, 28847, 29181
36203, 38135, 86194, 97851, 110129, 36719, 43391, 29199, 25366
35193, 37956, 83676, 96088, 114367, 40470, 36728, 29241, 27500
37867, 37744, 98341, 99738, 101914, 38872, 44858, 25457, 30574
37666, 41600, 89322, 92589, 100300, 37610, 42428, 30535, 30427
35910, 36376, 96045, 101661, 88575, 38113, 33736, 27047, 28666
37238, 38026, 90035, 102796, 115107, 41358, 38514, 32205, 31045
42138, 38530, 88442, 100852, 106877, 40100, 37308, 30621, 27999
38211, 37531, 84591, 96349, 113464, 40154, 37219, 31520, 34260
42376, 41479, 91168, 96008, 104290, 39077, 37358, 30933, 30124
37608, 37533, 87977, 100401, 110023, 38080, 36247, 30132, 31186
38314, 36887, 93753, 99043, 92580, 38290, 37256, 31762, 30302
36911, 36813, 92327, 96866, 101551, 39406, 39047, 30587, 29237
36382, 37909, 89088, 104521, 117811, 37515, 40002, 31189, 29448
37871, 36555, 89727, 99499, 112285, 38285, 37766, 30816, 28044
36101, 40076, 86144, 92795, 101486, 40054, 37578, 34201, 30553
38006, 38314, 89882, 94532, 99547, 37223, 34127, 30143, 30390
36301, 37668, 86002, 90097, 98246, 37015, 34899, 31151, 29198
33746, 34084, 82653, 100081, 106090, 37666, 38178, 28150, 28126
36997, 36859, 86864, 91672, 98179, 36444, 38858, 30216, 31454
36997, 37448, 83054, 91827, 109764, 42766, 43314, 30373, 32946
44725, 37436, 84779, 95629, 100931, 39077, 41422, 31030, 27779
36306, 36414, 84259, 95620, 108222, 40077, 41024, 28032, 27926
36863, 36299, 86923, 99193, 92218, 38622, 36706, 31012, 29009
35243, 35977, 86129, 94584, 99400, 38303, 38191, 26416, 27342
34754, 34911, 79990, 91531, 108713, 39477, 38170, 29914, 26130
35840, 37090, 81649, 94793, 102793, 42176, 37146, 29402, 29697
37605, 39607, 102792, 97421, 103900, 38723, 39285, 33881, 36607
36211, 37565, 94346, 94315, 102443, 38711, 41074, 32510, 31227
36862, 38761, 92312, 93728, 98082, 39486, 39703, 29780, 28656
38808, 38940, 98137, 99307, 118295, 41272, 38118, 27202, 21199
42602, 46641, 92084, 96791, 108569, 40416, 39035, 29565, 29533
36396, 35110, 80309, 92465, 100103, 39844, 37477, 30943, 28114
36411, 36904, 87063, 95321, 102003, 39981, 37902, 30725, 30116
38451, 36902, 87622, 96191, 102981, 42695, 44252, 32284, 27586
36913, 43032, 94004, 106239, 91902, 36748, 33406, 24822, 26002
35295, 35878, 72580, 90260, 96614, 38190, 35465, 27963, 26458
